sku	fnsku	asin	product-name	condition	your-price	mfn-listing-exists	mfn-fulfillable-quantity	afn-listing-exists	afn-warehouse-quantity	afn-fulfillable-quantity	afn-unsellable-quantity	afn-reserved-quantity	afn-total-quantity	per-unit-volume	afn-inbound-working-quantity	afn-inbound-shipped-quantity	afn-inbound-receiving-quantity	afn-researching-quantity	afn-reserved-future-supply	afn-future-supply-buyable
0J-7PZV-ETQB	X0042T8AML	B08VJL6FTL	Redbarn Chew-A-Bulls (Size: Mini | Shape: Hydrant | 48-Count (Pack of 1))	New	14.50	No		Yes	0	0	0	0	0	0.12	0	0	0	0	0	0
0J-APVP-XN6W	X0041WTNST	B073PCZPZK	Chuckit! Max Glow Ball, Medium 2ct (2 x 1ct)	New	15.99	No		Yes	0	0	0	0	0	0.05	0	0	0	0	0	0
0J-J2PG-8AEU	X003S9UO3T	B00028ZLSG	Pet Tabs Original Formula Vitamin Supplement, 60 Count	New	23.99	No		Yes	0	0	0	0	120	0.01	120	0	0	0	0	0
0K-0VV5-4VF3	X0045ARXE3	B07PB39VVL	Colgate Total Teeth Whitening Toothpaste, 3.3 oz (93g) - Pack of 3	New	15.99	No		Yes	1	0	0	0	3	0.06	0	0	2	1	0	0
0K-CWSG-FRFF	X003ZNR49Z	B004S9QY5O	Tea Tree Therapy Antiseptic Ointment,2oz	New	12.99	No		Yes	0	0	0	0	0	0.02	0	0	0	0	0	0
0L-96WN-GQLQ	X00486DV3B	B01EP4TPO8	Durvet Duramectin Equine Wormer Paste - 3 Tubes	New	25.99	No		Yes	0	0	0	0	0	0.08	0	0	0	0	0	0
0M-613J-HVKV	X0047D29GZ	B082ZPK9GP	Eco Styling Gel Argan Oil Orange 80 oz#	New	25.23	No		Yes	7	1	0	6	7	0.2	0	0	0	0	0	0
0M-ITMX-70FN	X0044OIWFT	B00JGQ4E6K	Ultraswim Chlorine Removal Moisturizing Shampoo - 7 oz - 2 pk	New	16.18	No		Yes	0	0	0	0	0	0.04	0	0	0	0	0	0
0N-FL2N-VGUI	X004A0LADN	B001F95SV6	ZuPreem FruitBlend Flavor with Natural Flavors	New	26.09	No		Yes	0	0	0	0	14	0.19	14	0	0	0	0	0
0N-OI00-DNV1	X0047IPGGZ	B07P5GZMRN	SpaPure Alkalinity Increaser (1 lb) (2 Pack)	New	19.99	No		Yes	0	0	0	0	0	0.08	0	0	0	0	0	0
0Q-DWUU-N458	X0043HIUL3	B0009PCOFU	Fresh Step Scented Non-Clumping Clay Cat Litter, 7 Pounds	New	19.99	No		Yes	0	0	0	0	0	0.24	0	0	0	0	0	0
0Q-IQWX-S04F	X0046TUXOP	B01N442619	Selective Naturals Garden Sticks, 2.1 oz	New	7.00	No		Yes	88	87	0	1	88	0.02	0	0	0	0	0	0
0R-HDY9-CZ8A	X003ZUPHBP	B075RWBGN2	Clorox Clean-Up Cleaner Spray with Bleach, 32 fl. oz. (Pack of 2)	New	19.99	No		Yes	0	0	0	0	0	0.22	0	0	0	0	0	0
0R-WCVJ-QX2S	X00495XXNJ	B001PIHBAI	(Price/EACH)JACKS HOUSEPLANT SPECIAL 8 OZ.	New	13.72	No		Yes	0	0	0	0	0	0.04	0	0	0	0	0	0
0S-0EMS-SXVC	X0048ZIZGF	B007C4IK90	Tcb No Base Hair Relaxer Creme Regular, 7.5 Ounce	New	9.92	No		Yes	0	0	0	0	0	0.02	0	0	0	0	0	0
0T-FZ5A-ZT7H	X0041WVD7X	B0006G5F0S	Zoo Med Wipe Out 1 Disinfectant, 32 oz	New	25.99	No		Yes	0	0	0	0	0	0.08	0	0	0	0	0	0
0U-HLFJ-6T1R	X0046VEQ0F	B07B5XPDHS	Stella & Chewy's, Grass-Fed Lamb Recipe Raw Coated Kibble Dry Dog Food, 3.5 Pound	New	28.30	No		Yes	41	27	0	14	73	0.17	0	0	32	0	0	0
0X-E4PB-WWRR	X00462OAP5	B075XTV6FQ	Camay Soap 3Ct X 125G Naturel	New	6.99	No		Yes	0	0	0	0	2	0.02	0	0	2	0	0	0
0Z-ZIWU-BXVR	X0048ZH7OL	B07868H5QN	Bathroom Bleach Foamer Original Spray, Pack of 3	New	27.99	No		Yes	0	0	0	0	0	0.26	0	0	0	0	0	0
10-BFU0-G6JT	X003TJ7OH7	B00IOOOWBM	Temptations Classic Cat Treats Seafood Medley Flavor, 16 Oz. Tub	New	7.00	No		Yes	0	0	0	0	0	0.08	0	0	0	0	0	0
10-N1IN-F07P	X003ZW03C1	B00KHX9NY4	Alteril All Natural Sleep Aid 30 Tablets (Pack of 2)	New	32.73	No		Yes	0	0	0	0	0	0.02	0	0	0	0	0	0
