id,ASIN,product_image,product_name,seller_sku,FBA_available_inventory,reserved_quantity,Inbound_to_FBA,supplier_name,supplier_item_number,product_cost,pack_type,is_active,createdAt,updatedAt
12308,B08R2VK2P4,NULL,"Earthborn Holistic Meadow Feast Grain-Free Natural Dry Dog Food, 4 lb",KR-IMD3-2T1P,25,0,0,NULL,NULL,0,NULL,1,"2024-05-13 16:15:49","2024-05-13 16:19:29"
12309,B07FKY14LS,NULL,"Higgins SUNBURST GOURMET BLEND Guinea Pig Food 3 lb. bag. Fast Delivery!!!",KS-0JX9-E8VU,0,0,0,NULL,NULL,0,NULL,1,"2024-05-13 16:15:49","2024-05-13 16:15:49"
12310,B0B65TJSYS,NULL,"Dr. Marty Nature's Blend For Puppies Freeze Dried Raw Dog Food, 16 oz",KS-Y2M5-ZLUB,170,60,0,NULL,NULL,0,NULL,1,"2024-05-13 16:15:49","2024-05-13 16:19:29"
12311,B0083NOJ5I,NULL,"Suave Essentials Body Wash Ocean Breeze 12 Ounces",KT-6QD0-1FOF,0,0,0,NULL,NULL,0,NULL,1,"2024-05-13 16:15:49","2024-05-13 16:15:49"
12312,B07MW6DFVL,NULL,"Crest Complete Multi-Benefit Fluoride Toothpaste - Extra Whitening and Scope Advanced Freshness - 8.2 oz each, 3 count",KW-7EST-1LSN,0,0,0,NULL,NULL,0,NULL,1,"2024-05-13 16:15:49","2024-05-13 16:19:29"
12313,B0CDHYHT5F,NULL,"Dr. Teal's Rose & Milk Deodorant Gift Set (2 Pack, 2.65oz Ea) - Rose & Milk Formula - Aluminum Free with Magnesium - Essential Oils, Shea Butter & Arrowroot Powder Absorb Moisture, Keep Skin Healthy",KW-CI5A-BXYL,0,7,12,NULL,NULL,0,NULL,1,"2024-05-13 16:15:49","2024-05-13 16:19:29"
12314,B0845RJ7ST,NULL,"Friskies Party Mix Crunch Gravy-Licious Turkey & Gravy Treats (Pack of 2)",KX-JBBV-94PS,0,0,0,NULL,NULL,0,NULL,1,"2024-05-13 16:15:49","2024-05-13 16:15:49"
12315,B00HVB3GH0,NULL,"Neogen 900 Rodenticide Dramik Refillable Bait Station 16 Ounce 000, 16oz, Black",KZ-JUSP-MSVL,22,8,0,NULL,NULL,0,NULL,1,"2024-05-13 16:15:49","2024-05-13 16:19:29"
12316,B000EISKJ6,NULL,"Huy Fong Sriracha Hot Chili Sauce Bottle, 17 Ounce (Pack Of 2)",Kehe-$4.34,0,0,0,NULL,NULL,0,NULL,1,"2024-05-13 16:15:49","2024-05-13 16:15:49"
12317,B097HNGY47,NULL,"Snicky Snaks Poppers, All Natural, Oven Baked Dog Treats Pack of 2 � Made from Scratch, No Wheat, No Corn, No Soy � Made in The USA Dog Treats, Training Treats (Peanut Butter)",King-1,0,0,0,NULL,NULL,0,NULL,1,"2024-05-13 16:15:49","2024-05-13 16:15:49"
12318,B09PMD2NTY,NULL,"Open Farm Dehydrated Pork Dog Treats, 4.5 oz",L0-T211-P3O4,5,0,0,NULL,NULL,0,NULL,1,"2024-05-13 16:15:49","2024-05-13 16:19:29"
12319,B00JF2JUXM,NULL,"Ivory Body Wash - Original - 12 oz - 3 pk",L1-8NUJ-5ZOI,0,0,0,NULL,NULL,0,NULL,1,"2024-05-13 16:15:49","2024-05-13 16:15:49"
12320,B00KOWFYUU,NULL,"ZuPreem Smart Selects Bird Food for Large Birds, 4 lb - Everyday Feeding for Amazons, Macaws, Cockatoos",L1-8UFA-K92W,0,0,0,NULL,NULL,0,NULL,1,"2024-05-13 16:15:49","2024-05-13 16:15:49"
12321,B07TDDZ3JL,NULL,"TESSEMAE'S Organic Classic Ranch, 10 FZ",L1-PSKJ-S3FV,0,0,0,NULL,NULL,0,NULL,1,"2024-05-13 16:15:49","2024-05-13 16:15:49"
12322,B09Q7Q1ZV5,NULL,"Dr. Kellyann Thai Lemongrass Chicken Bone Broth, 16.9 FZ",L2-GKLN-USWG,0,0,0,NULL,NULL,0,NULL,1,"2024-05-13 16:15:49","2024-05-13 16:15:49"
12323,B00MD03WOQ,NULL,"Zignature Zsssentials Formula Wet Dog Food 13oz, case of 12",L2-WASC-NYAT,0,0,0,NULL,NULL,0,NULL,1,"2024-05-13 16:15:49","2024-05-13 16:15:49"
12324,B077ND8562,NULL,"POND'S White Beauty Anti-Spot Fairness SPF 15 Day Cream, 35g",L3-BRGT-TZX9,0,0,0,NULL,NULL,0,NULL,1,"2024-05-13 16:15:49","2024-05-13 16:15:49"
12325,B0006G5M06,NULL,"Pretty Bird Daily Select Premium Food for Small Birds (2 lbs.)",L5-2IKQ-EKYI,21,0,0,NULL,NULL,0,NULL,1,"2024-05-13 16:15:49","2024-05-13 16:19:29"
12326,B000HHQB3Q,NULL,"AniMed Remission 4 lb�",L6-C1LG-KNH0,0,0,0,NULL,NULL,0,NULL,1,"2024-05-13 16:15:49","2024-05-13 16:15:49"
12327,B07PC1WD1R,NULL,"Ajax Powder Cleanser with Bleach, 14 oz (396 g), Pack of 6",L7-IW85-RLML,0,0,0,NULL,NULL,0,NULL,1,"2024-05-13 16:15:49","2024-05-13 16:15:49"
12328,B08B6WCVXY,NULL,"Downy Defy Damage Total-wash Fabric Conditioning Beads, Fabric Softener, Fresh, 22.9 Ounce",L9-50KP-OZ11,0,0,0,NULL,NULL,0,NULL,1,"2024-05-13 16:15:49","2024-05-13 16:15:49"
12329,B0002DHYSG,NULL,"Weco Nox-Ich Water Treatment, 4 oz",LA-FU91-EQDN,37,17,0,NULL,NULL,0,NULL,1,"2024-05-13 16:15:49","2024-05-13 16:19:29"
12330,B000YKBH30,NULL,"Vet's Best Moisture Mist Dog Dry Skin Conditioner| Dog Conditioner and Detangler Spray | Relieves Itchy Skin, Refreshes & Soothes | 16 oz",LB-7N5Q-BXES,10,1,0,NULL,NULL,0,NULL,1,"2024-05-13 16:15:49","2024-05-13 16:19:29"
12331,B07F77TZ7H,NULL,"LAFEBER'S Nutriberries Original Cockatiel 2 pk 10 oz",LD-G3LR-PVS3,31,9,0,NULL,NULL,0,NULL,1,"2024-05-13 16:15:49","2024-05-13 16:19:29"
12332,B000AL2RI2,NULL,"Permatex 81150 Dielectric Tune-Up Grease, 0.33 oz. Tube, Silver",LD-PHBA-8CQS,0,0,0,NULL,NULL,0,NULL,1,"2024-05-13 16:15:49","2024-05-13 16:15:49"
12333,B01N3SJPDP,NULL,"Ginger People Gin Gins Chewy Ginger Candy Hot Coffee -- 3 oz - 2 pc",LE-SQ0W-A58Q,0,0,0,NULL,NULL,0,NULL,1,"2024-05-13 16:15:49","2024-05-13 16:15:49"
12334,B07KY3P6J1,NULL,"Johnsons Baby Lotion 16.9 Ounce Pump (500ml) (2 Pack)",LEVTRAD-1,0,0,0,NULL,NULL,0,NULL,1,"2024-05-13 16:15:49","2024-05-13 16:15:49"
12335,B0BQ7HCLLB,NULL,"Crest Complete Whitening Plus Scope Outlast Ultra Toothpaste 6.5 oz (184g) - Pack of 4",LEVTRAD-2,0,0,0,NULL,NULL,0,NULL,1,"2024-05-13 16:15:49","2024-05-13 16:15:49"
12336,B01IO8K4FA,NULL,"Redbarn Bully Slices for Dogs | Highly Palatable, Long-Lasting Natural Dental Treats with Functional Ingredients, 9 oz. (Pack of 3) - Original Bully",LF-2YML-BD9C,17,103,0,NULL,NULL,0,NULL,1,"2024-05-13 16:15:49","2024-05-13 16:19:29"
12337,B01AO7CI12,NULL,"Freeman Facial Apple Cider Vinegar Clay Mask Plus Scrub, 6 oz./177 mL, Pack of 2",LG-BT24-2DU6,0,0,0,NULL,NULL,0,NULL,1,"2024-05-13 16:15:49","2024-05-13 16:15:49"
12338,B0037YLAXW,NULL,"Bayer Chewable Low Dose Aspirin 81 mg Tablets 36 Count Orange, Pack of 6",LJ-FXM7-94QN,0,0,0,NULL,NULL,0,NULL,1,"2024-05-13 16:15:49","2024-05-13 16:15:49"
12339,B0CLWD4TWM,NULL,"CASCADE Complete 2X Gel Stain Fighting Power Dishwashing Detergent with Dawn, Fresh Scent, 120 Fl Oz (Pack of 2)",LL-9JYX-3OS3,0,0,0,NULL,NULL,0,NULL,1,"2024-05-13 16:15:49","2024-05-13 16:15:49"
12340,B00SLQBSFQ,NULL,"Zoo Med Natural Aquatic Turtle Food Maintenance Formula [Set of 2] Size: 45 Oz.",LN-AIVF-ILOW,0,1,0,NULL,NULL,0,NULL,1,"2024-05-13 16:15:49","2024-05-13 16:19:29"
12341,B00LNCF9F0,NULL,"Dove Caring Hand Wash, Fresh Touch Cucumber & Green Tea, 8.45 Fl Oz (Pack of 6)",LN-GK2K-JCN3,0,0,0,NULL,NULL,0,NULL,1,"2024-05-13 16:15:49","2024-05-13 16:19:29"
12342,B0014X7B22,NULL,"Iron OUT Powder Rust Stain Remover, Remove and Prevent Rust Stains in Bathrooms, Kitchens, Appliances, Laundry, and Outdoors, 1 Pound 12 Ounce",LP-OBNM-WVCF,0,1,0,NULL,NULL,0,NULL,1,"2024-05-13 16:15:49","2024-05-13 16:19:29"
12343,B01LQK9C92,NULL,"Scumball Surface Oil Absorber Removes Scum Oils from Pool Spa 4 pk Floating Ball",LP-V9DA-MQVE,0,0,0,NULL,NULL,0,NULL,1,"2024-05-13 16:15:49","2024-05-13 16:15:49"
12344,B0BH8N6T55,NULL,"Backyard Boost Busy Balls - Prebiotic Chicken Food Treat Bird Food Enriched with Sunflower Seed, Oat Groats, and Mixed Grains for Digestion, and Gut Health - 1.36 lb",LP-VMG1-WNZ2,0,0,0,NULL,NULL,0,NULL,1,"2024-05-13 16:15:49","2024-05-13 16:15:49"
