id,ASIN,product_image,product_name,seller_sku,FBA_available_inventory,reserved_quantity,Inbound_to_FBA,supplier_name,supplier_item_number,product_cost,pack_type,is_active,createdAt,updatedAt
11300,B07B5XPDHS,NULL,"Stella & Chewy's, Grass-Fed Lamb Recipe Raw Coated Kibble Dry Dog Food, 3.5 Pound",0U-HLFJ-6T1R,0,0,0,NULL,NULL,0,NULL,1,"2024-05-13 16:15:46","2024-05-13 16:15:46"
11301,B075XTV6FQ,NULL,"Camay Soap 3Ct X 125G Naturel",0X-E4PB-WWRR,0,0,0,NULL,NULL,0,NULL,1,"2024-05-13 16:15:46","2024-05-13 16:19:27"
11302,B00HR98WLQ,NULL,"Mane 'n Tail Detangler 12 oz (Pack of 2)",10-ACMD-GSVW,0,0,0,NULL,NULL,0,NULL,1,"2024-05-13 16:15:46","2024-05-13 16:15:46"
11303,B00IOOOWBM,NULL,"Temptations Classic Cat Treats Seafood Medley Flavor, 16 Oz. Tub",10-BFU0-G6JT,0,0,0,NULL,NULL,0,NULL,1,"2024-05-13 16:15:46","2024-05-13 16:15:46"
11304,B00KHX9NY4,NULL,"Alteril All Natural Sleep Aid 30 Tablets (Pack of 2)",10-N1IN-F07P,1,0,0,NULL,NULL,0,NULL,1,"2024-05-13 16:15:46","2024-05-13 16:19:27"
11305,B01CKGNVKM,NULL,"Lady Speed Stick Deodorant 2.3oz Powder Fresh Power (2 Pack)",11-0BB1-JYAH,0,0,0,NULL,NULL,0,NULL,1,"2024-05-13 16:15:46","2024-05-13 16:15:46"
11306,B000QFRKRA,NULL,"AniMed ULC-R-Aid 4 lb",12-XX2G-5WRQ,0,0,0,NULL,NULL,0,NULL,1,"2024-05-13 16:15:46","2024-05-13 16:15:46"
11307,B08VFFHS38,NULL,"Redbarn All-Natural Lamb Lung Filets for Dogs - Premium Grain-Free Single Ingredient Dental Treats - Made in USA with No Artificial Ingredients - 10 oz Bag",13-JRZY-NZ3I,85,5,0,NULL,NULL,0,NULL,1,"2024-05-13 16:15:46","2024-05-13 16:19:27"
11308,B00074W13I,NULL,"Nupro Health Nuggets for Cats (1lb jar)",14-NZNW-5SL9,0,0,0,NULL,NULL,0,NULL,1,"2024-05-13 16:15:46","2024-05-13 16:15:46"
11309,B071FJYTSX,NULL,"Mop & Glo Multi-Surface Floor Cleaner, 32 Ounce (Pack of 4)",16-L8IX-NQ39,0,0,0,NULL,NULL,0,NULL,1,"2024-05-13 16:15:46","2024-05-13 16:15:46"
